RA,ano,fase,idade,genero,ano_ingresso,inde,pedra,iaa,ieg,ips,ida,ipp,ipv,ian,nota_mat,nota_port,nota_ing,defasagem,atingiu_pv,indicado_bolsa,em_risco_defasagem,categoria_defasagem,anos_na_pm
RA-1,2022,7,19.0,Feminino,2016,5.783,Quartzo,8.3,4.1,5.6,4.0,,7.278,5.0,2.7,3.5,6.0,-1,0.0,1.0,0,Defasagem leve,6.0
RA-1,2023,8,,Feminino,2016,,,,,,,,,10.0,,,,0,,,0,Adequado,7.0
RA-1,2024,8,21.0,Feminino,2021,,,,0.0,,,,,10.0,,,,0,,,0,Adequado,3.0
RA-10,2022,7,18.0,Feminino,2021,5.784,Quartzo,8.3,5.2,5.0,4.1,,7.056,5.0,3.3,2.6,6.4,-1,0.0,0.0,0,Defasagem leve,1.0
RA-100,2022,4,13.0,Feminino,2019,7.618,Ametista,8.8,7.8,5.0,7.6,,7.25,10.0,7.0,7.8,8.1,1,0.0,0.0,0,Adiantado,3.0
RA-1000,2023,0,8.0,Feminino,2023,7.9162,Ametista,8.5,9.4,3.77,7.0,6.25,8.92,10.0,7.0,7.0,,0,,,0,Adequado,0.0
RA-1000,2024,1,9.0,Feminino,2023,8.364790909100002,Topazio,9.002,9.5454545455,6.26,7.75,8.125,7.835,10.0,7.5,8.0,,0,,,0,Adequado,1.0
RA-1001,2023,0,9.0,Feminino,2023,8.1162,Topazio,9.0,9.1,7.52,7.8,7.5,9.17,5.0,8.3,7.3,,-1,,,0,Defasagem leve,0.0
RA-1001,2024,1,10.0,Feminino,2023,7.7964318841,Ametista,7.502,9.347826087,7.51,7.75,7.916666667,7.92,5.0,6.5,9.0,,-1,,,0,Defasagem leve,1.0
RA-1002,2023,0,9.0,Feminino,2023,7.9012,Ametista,9.0,9.7,7.52,7.0,6.25,8.92,5.0,7.0,7.0,,-1,,,0,Defasagem leve,0.0
RA-1002,2024,0,10.0,Feminino,2023,7.967866666700001,Ametista,9.002,7.833333333500001,7.51,9.25,7.5,8.25,5.0,10.0,8.5,,-1,,,0,Defasagem leve,1.0
RA-1003,2023,0,8.0,Masculino,2023,7.6522,Ametista,9.0,8.5,7.52,4.0,7.5,8.75,10.0,8.0,0.0,,0,,,0,Adequado,0.0
RA-1003,2024,0,9.0,Masculino,2023,7.627588888900001,Ametista,8.002,8.6944444445,7.51,8.25,6.875,7.5,5.0,10.0,6.5,,-1,,,0,Defasagem leve,1.0
RA-1004,2023,0,8.0,Feminino,2023,8.3137,Topazio,9.0,9.6,7.52,7.9,6.875,7.42,10.0,6.5,9.2,,0,,,0,Adequado,0.0
RA-1004,2024,0,9.0,Feminino,2023,7.801200000000001,Ametista,9.502,9.25,7.51,7.5,7.5,7.5,5.0,7.5,7.5,,-1,,,0,Defasagem leve,1.0
RA-1005,2023,0,8.0,Masculino,2023,8.4252,Topazio,9.5,7.9,7.52,8.8,7.5,8.165,10.0,8.4,9.2,,0,,,0,Adequado,0.0
RA-1006,2023,0,8.0,Feminino,2023,8.5922,Topazio,9.0,9.3,7.52,8.7,7.5,8.0,10.0,8.7,8.6,,0,,,0,Adequado,0.0
RA-1006,2024,0,9.0,Feminino,2023,7.040088888900001,Ametista,8.502,8.4444444445,7.51,5.0,7.5,7.5,5.0,5.0,5.0,,-1,,,0,Defasagem leve,1.0
RA-1007,2023,0,,Masculino,2023,8.0782,Topazio,9.0,7.4,7.52,8.3,7.5,7.68,10.0,8.1,8.5,,0,,,0,Adequado,0.0
RA-1008,2023,0,8.0,Masculino,2023,8.13595,Topazio,9.0,8.6,7.52,8.4,5.9375,7.5,10.0,7.5,9.2,,0,,,0,Adequado,0.0
RA-1008,2024,0,9.0,Masculino,2023,6.8667414438000005,Agata,7.002,6.483957219,7.51,7.0,7.1875,7.5,5.0,6.5,7.5,,-1,,,0,Defasagem leve,1.0
RA-1009,2023,0,8.0,Masculino,2023,7.245,Ametista,0.0,9.0,3.77,8.8,7.5,7.84,10.0,8.3,9.2,,0,,,0,Adequado,0.0
RA-1009,2024,0,9.0,Masculino,2023,6.395389393900001,Agata,8.002,6.8863636365000005,2.51,7.5,6.5625,6.553333333,5.0,10.0,5.0,,-1,,,0,Defasagem leve,1.0
RA-101,2022,4,15.0,Feminino,2021,7.305,Ametista,7.9,8.3,7.5,7.6,,6.833,5.0,7.2,6.5,9.2,-1,0.0,1.0,0,Defasagem leve,1.0
RA-1010,2023,0,8.0,Masculino,2023,8.70645,Topazio,9.5,10.0,3.77,9.4,7.8125,8.59,10.0,9.0,9.8,,0,,,0,Adequado,0.0
RA-1011,2023,0,,Masculino,2023,7.33095,Ametista,9.5,8.6,3.77,5.2,7.1875,7.675,10.0,5.5,4.8,,0,,,0,Adequado,0.0
RA-1012,2023,0,8.0,Feminino,2023,7.96495,Ametista,10.0,9.9,3.77,6.6,7.1875,7.845,10.0,7.0,6.2,,0,,,0,Adequado,0.0
RA-1012,2024,0,9.0,Feminino,2023,8.057128571400002,Topazio,9.502,9.523809524,2.51,9.75,8.125,8.443333333,5.0,10.0,9.5,,-1,,,0,Defasagem leve,1.0
RA-1013,2023,0,7.0,Masculino,2023,7.6237,Ametista,9.0,9.6,4.39,8.3,5.625,5.76,10.0,7.0,9.5,,0,,,0,Adequado,0.0
RA-1013,2024,0,8.0,Masculino,2023,5.7839559808,Quartzo,9.002,5.6937799039999994,2.51,7.75,5.0,4.72,5.0,8.0,7.5,,-1,,,0,Defasagem leve,1.0
RA-1014,2023,0,,Feminino,2023,8.2582,Topazio,9.0,9.7,3.77,8.2,7.5,8.255,10.0,7.7,8.7,,0,,,0,Adequado,0.0
RA-1014,2024,0,8.0,Feminino,2023,6.315972727300001,Agata,8.502,7.8863636365000005,2.51,5.25,6.875,7.0,5.0,6.5,4.0,,-1,,,0,Defasagem leve,1.0
RA-1015,2023,1,10.0,Feminino,2023,7.538908333,Ametista,10.0,9.3,6.27,6.3,7.34375,7.786666667,5.0,5.0,7.6,,-1,,,0,Defasagem leve,0.0
RA-1015,2024,2,11.0,Feminino,2023,6.643252381000002,Agata,7.918,7.8214285715,7.51,4.0,6.041666667,5.66,10.0,2.0,6.0,,0,,,0,Adequado,1.0
RA-1016,2023,1,10.0,Feminino,2023,7.762575,Ametista,10.0,9.5,7.52,6.7,7.34375,7.73,5.0,5.8,7.5,,-1,,,0,Defasagem leve,0.0
RA-1017,2023,1,,Masculino,2023,6.505333333,Agata,0.0,8.0,5.02,7.7,7.5,8.116666667,5.0,7.0,8.3,,-1,,,0,Defasagem leve,0.0
RA-1017,2024,2,12.0,Masculino,2023,7.345521428500001,Ametista,9.502,7.8095238095,6.26,5.0,7.1875,7.443333333,10.0,2.5,7.5,,0,,,0,Adequado,1.0
RA-1018,2023,1,,Masculino,2023,6.824,Agata,0.0,8.5,5.02,6.3,7.5,8.06,10.0,5.8,6.8,,0,,,0,Adequado,0.0
RA-1018,2024,1,10.0,Masculino,2023,7.7054045454,Ametista,8.502,7.727272727,6.26,8.25,8.4375,8.45,5.0,8.5,8.0,,-1,,,0,Defasagem leve,1.0
RA-1019,2023,1,8.0,Feminino,2023,7.177033333,Ametista,7.5,9.1,5.02,4.3,6.875,7.836666667,10.0,0.5,8.0,,1,,,0,Adiantado,0.0
RA-1019,2024,1,9.0,Feminino,2023,8.692255194900001,Topazio,9.502,9.3073593075,6.26,8.75,7.8125,8.616666667,10.0,9.5,8.0,,0,,,0,Adequado,1.0
RA-102,2022,4,14.0,Masculino,2019,6.922,Agata,6.7,7.7,6.9,5.7,,6.0,10.0,4.7,6.8,5.5,0,0.0,0.0,0,Adequado,3.0
RA-1020,2023,1,9.0,Feminino,2023,7.612283333,Ametista,10.0,9.1,2.52,6.1,7.1875,8.056666667,10.0,4.3,7.8,,0,,,0,Adequado,0.0
